File Path,Category,File Lines,Method Count,Total Cyclomatic Complexity,Avg Cyclomatic Complexity,Max Method Complexity,Longest Method Lines
src/main/java/com/spring5webapp/controller/UserController.java,Controller,125,4,22,5.50,8,42
src/main/java/com/spring5webapp/controller/BookController.java,Controller,140,5,24,4.80,7,38
src/main/java/com/spring5webapp/controller/AuthorController.java,Controller,118,4,18,4.50,6,33
src/main/java/com/spring5webapp/controller/IndexController.java,Controller,90,3,12,4.00,5,27
src/main/java/com/spring5webapp/controller/PublisherController.java,Controller,132,5,21,4.20,6,35
src/main/java/com/spring5webapp/controller/OrderController.java,Controller,110,3,15,5.00,7,40
src/main/java/com/spring5webapp/controller/AdminController.java,Controller,128,4,20,5.00,7,36
src/main/java/com/spring5webapp/service/UserServiceImpl.java,Service,200,6,36,6.00,9,48
src/main/java/com/spring5webapp/service/BookServiceImpl.java,Service,190,5,30,6.00,8,45
src/main/java/com/spring5webapp/service/AuthorServiceImpl.java,Service,180,5,28,5.60,7,40
src/main/java/com/spring5webapp/service/OrderServiceImpl.java,Service,175,4,22,5.50,7,42
src/main/java/com/spring5webapp/service/PublisherServiceImpl.java,Service,185,6,32,5.33,8,44
src/main/java/com/spring5webapp/service/AdminServiceImpl.java,Service,170,5,27,5.40,7,39
src/main/java/com/spring5webapp/service/AnalyticsService.java,Service,165,4,20,5.00,6,38
src/main/java/com/spring5webapp/repository/UserRepository.java,Repository,90,4,12,3.00,4,26
src/main/java/com/spring5webapp/repository/BookRepository.java,Repository,95,4,13,3.25,4,28
src/main/java/com/spring5webapp/repository/AuthorRepository.java,Repository,85,3,9,3.00,4,24
src/main/java/com/spring5webapp/repository/OrderRepository.java,Repository,88,3,10,3.33,4,25
src/main/java/com/spring5webapp/repository/PublisherRepository.java,Repository,92,4,12,3.00,4,27
src/main/java/com/spring5webapp/repository/AdminRepository.java,Repository,83,3,9,3.00,4,23
src/main/java/com/spring5webapp/repository/AuditRepository.java,Repository,90,4,11,2.75,4,26
src/main/java/com/spring5webapp/util/StringUtils.java,Util,120,6,26,4.33,7,35
src/main/java/com/spring5webapp/util/DateUtils.java,Util,115,5,21,4.20,6,34
src/main/java/com/spring5webapp/util/ValidationUtils.java,Util,110,4,20,5.00,7,32
src/main/java/com/spring5webapp/util/SecurityUtils.java,Util,125,5,23,4.60,6,37
src/main/java/com/spring5webapp/util/CollectionUtils.java,Util,108,4,18,4.50,6,30
src/main/java/com/spring5webapp/config/WebConfig.java,Config,150,6,24,4.00,6,40
src/main/java/com/spring5webapp/config/DataSourceConfig.java,Config,160,7,28,4.00,6,42
